Year,Week,Ranking,TV,movie_zh_name,category,director,imdb_score
2021,31,7,Lawless Lawyer,武法律師,"犯罪, 法庭, 驚悚",Kim Jin-min,7.6
2021,31,8,Racket Boys,羽球少年團,"青少年, 喜劇",NA,4
2021,31,9,Vincenzo,黑道律師文森佐,社會議題,Park Jae-beom,8.4
2021,31,9,Vincenzo,黑道律師文森佐,社會議題,Kim Hee-won,8.4
2021,32,1,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,32,1,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,32,2,"Nevertheless,",無法抗拒的他,"網路漫改, 浪漫",Kim Ga-ram,7.2
2021,32,3,What's Wrong with Secretary Kim,金秘書為何那樣,"網路漫改, 浪漫, 喜劇, 書籍改編",NA,8.1
2021,32,5,Racket Boys,羽球少年團,"青少年, 喜劇",NA,4
2021,32,6,Love (ft. Marriage and Divorce),婚詞離曲,劇情,Im Sung-han,6.6
2021,33,2,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,33,2,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,33,3,"Nevertheless,",無法抗拒的他,"網路漫改, 浪漫",Kim Ga-ram,7.2
2021,33,4,What's Wrong with Secretary Kim,金秘書為何那樣,"網路漫改, 浪漫, 喜劇, 書籍改編",NA,8.1
2021,33,7,Racket Boys,羽球少年團,"青少年, 喜劇",NA,4
2021,33,8,You Are My Spring,你是我的春天,浪漫,Lee Mi-na,7.4
2021,34,2,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,34,2,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,34,3,"Nevertheless,",無法抗拒的他,"網路漫改, 浪漫",Kim Ga-ram,7.2
2021,34,4,What's Wrong with Secretary Kim,金秘書為何那樣,"網路漫改, 浪漫, 喜劇, 書籍改編",NA,8.1
2021,34,7,You Are My Spring,你是我的春天,浪漫,Lee Mi-na,7.4
2021,35,10,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Jeong-eun,8.2
2021,35,10,Hotel Del Luna,德魯納酒店,"奇幻, 浪漫, 喜劇",Hong Mi Ran,8.2
2021,35,2,Hospital Playlist,機智醫生生活,醫療,Lee Woo-jung,8.8
2021,35,2,Hospital Playlist,機智醫生生活,醫療,Shin Won-ho,8.8
2021,35,3,D.P.,D.P：逃兵追緝令,"網路漫改, 社會議題",Han Jun-hee,8.2
2021,35,3,D.P.,D.P：逃兵追緝令,"網路漫改, 社會議題",Kim Bo-tong,8.2
2021,35,4,Hometown Cha-Cha-Cha,海岸村恰恰恰,"浪漫, 喜劇",Shin Ha-eun,8.5
2021,35,5,"Nevertheless,",無法抗拒的他,"網路漫改, 浪漫",Kim Ga-ram,7.2
