Year,Week,Ranking,TV,movie_zh_name,first_air_date,category,origin_country,original_language
2021,35,2,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,35,3,Hometown Cha-Cha-Cha,海岸村恰恰恰,2021/8/28,"浪漫, 喜劇",KR,ko
2021,35,4,Change Days,Change Days,2021-06-15,"浪漫, 實境",KR,ko
2021,35,5,Love After Divorce,Love After Divorce,2021-07-11,實境,KR,ko
2021,35,6,Hotel Del Luna,德魯納酒店,2019/7/12,"奇幻, 浪漫, 喜劇",KR,ko
2021,35,7,You Are My Spring,你是我的春天,2021/7/5,浪漫,KR,ko
2021,35,8,Men on a Mission,認識的哥哥,2015-12-05,"綜藝, 喜劇",KR,ko
2021,35,9,Money Heist,紙房子,2017-05-02,,ES,es
2021,35,10,Doomed Marriage,Doomed Marriage,2022,脫口秀,KR,ko
2021,36,1,D.P.,D.P：逃兵追緝令,2021/8/27,"網路漫改, 社會議題",KR,ko
2021,36,2,Hometown Cha-Cha-Cha,海岸村恰恰恰,2021/8/28,"浪漫, 喜劇",KR,ko
2021,36,3,Hotel Del Luna,德魯納酒店,2019/7/12,"奇幻, 浪漫, 喜劇",KR,ko
2021,36,4,Hospital Playlist,機智醫生生活,2020/3/12,醫療,KR,ko
2021,36,5,Change Days,Change Days,2021-06-15,"浪漫, 實境",KR,ko
2021,36,6,Money Heist,紙房子,2017-05-02,,ES,es
2021,36,7,Love After Divorce,Love After Divorce,2021-07-11,實境,KR,ko
